PLAYER_ID,FGA,season
1626157,1160.0,2017-18
1626158,223.0,2017-18
1626159,479.0,2017-18
1626161,704.0,2017-18
1626162,770.0,2017-18
1626163,677.0,2017-18
1626164,993.0,2017-18
1626166,183.0,2017-18
1626167,665.0,2017-18
1626168,520.0,2017-18
1626169,523.0,2017-18
1626170,487.0,2017-18
1626171,735.0,2017-18
1626172,238.0,2017-18
1626173,54.0,2017-18
1626175,76.0,2017-18
1626177,33.0,2017-18
1626178,640.0,2017-18
1626179,1001.0,2017-18
1626181,363.0,2017-18
1626185,454.0,2017-18
1626188,299.0,2017-18
1626191,41.0,2017-18
1626192,380.0,2017-18
1626195,150.0,2017-18
1626196,878.0,2017-18
1626199,17.0,2017-18
1626202,175.0,2017-18
1626203,208.0,2017-18
1626204,451.0,2017-18
1626205,5.0,2017-18
1626209,583.0,2017-18
1626210,15.0,2017-18
1626220,314.0,2017-18
1626224,200.0,2017-18
1626242,1.0,2017-18
1626245,189.0,2017-18
1626246,131.0,2017-18
1626257,122.0,2017-18
1626259,28.0,2017-18
1626643,2.0,2017-18
1626780,23.0,2017-18
1627098,263.0,2017-18
1627215,6.0,2017-18
1627362,40.0,2017-18
1627732,1054.0,2017-18
1627733,460.0,2017-18
1627734,673.0,2017-18
1627735,23.0,2017-18
1627736,166.0,2017-18
1627737,435.0,2017-18
1627738,255.0,2017-18
1627739,621.0,2017-18
1627740,143.0,2017-18
1627741,878.0,2017-18
1627742,702.0,2017-18
1627743,15.0,2017-18
1627744,38.0,2017-18
1627745,21.0,2017-18
1627746,433.0,2017-18
1627747,667.0,2017-18
1627748,318.0,2017-18
1627749,592.0,2017-18
1627750,995.0,2017-18
1627751,379.0,2017-18
1627752,905.0,2017-18
1627753,31.0,2017-18
1627755,509.0,2017-18
1627756,687.0,2017-18
1627758,53.0,2017-18
1627759,953.0,2017-18
1627761,117.0,2017-18
1627762,5.0,2017-18
1627763,503.0,2017-18
1627767,165.0,2017-18
1627770,66.0,2017-18
1627772,10.0,2017-18
1627774,49.0,2017-18
1627775,208.0,2017-18
1627777,10.0,2017-18
